,id,name,description,category,subcategory,region,delay,universe,coverage,turnover,valueScore,userCount,alphaCount,fieldCount,researchPapers
26,earnings4,Effect of earnings announcement model,"Market data statistics considering earnings dates. The dataset offers historical volatilty, implied volatility, option strike price etc. where earnings dates data is excluded.",earnings,earnings-earnings-estimates,USA,1,TOP3000,0.7502,,3.0,164,3734,121,"[{'title': 'Research Paper 42: Premium for Heightened Uncertainty: Explaining Pre-Announcement Market Returns', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15769979029527-Research-Paper-42-Premium-for-Heightened-Uncertainty-Explaining-Pre-Announcement-Market-Returns'}]"
27,earnings5,Earnings Date Breaks,This dataset includes comprehensive information of corporate event dates. It provides the estimated date of the event before the event. Sometimes the revision of estimated date can be a source of alpha signal.,earnings,earnings-earnings-estimates,USA,1,TOP3000,0.9487,,4.0,19,194,3,[]
28,earnings7,Horizon Earnings and Calendar North America,corporate event dates and information,earnings,earnings-earnings-estimates,USA,1,TOP3000,0.65,,4.0,30,120,6,[]
29,fundamental1,Management and Executive Data,The dataset contains information about company employers with global coverage,fundamental,fundamental-fundamental-models,USA,1,TOP3000,0.3191,,5.0,8,74,72,[]
30,fundamental13,Comprehensive Fundamentals Dataset,"The dataset holds fundamental items included in a company's balance sheet, income statement and cash flow statements. Even footnote items are included for enhancements and complete coverage for some companies. ",fundamental,fundamental-fundamental-data,USA,1,TOP3000,0.7575,,1.0,361,57392,87,"[{'title': 'Research Paper 15: Investor Behavior, Sentiment and Macroeconomic Announcements', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/14280329361431-Research-Paper-15-Investor-Behavior-Sentiment-and-Macroeconomic-Announcements'}, {'title': 'Research Paper 20: Disclosure of Financial Statement Line Items and Insider Trading Around Earnings Announcements', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/14680583515159-Research-Paper-20-Disclosure-of-Financial-Statement-Line-Items-and-Insider-Trading-Around-Earnings-Announcements'}, {'title': 'Research Paper 39: Compound Returns', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15769980428695-Research-Paper-39-Compound-Returns'}]"
31,fundamental14,Audit Analytics Directors Data,This dataset tracks current and historical director and officer changes,fundamental,fundamental-fundamental-models,USA,1,TOP3000,0.9876,,3.0,57,2132,208,[]
32,fundamental17,Direct Fundamental Data,This dataset contains information about various company fundamentals from all over the world. It reports various calculated metrics and valuation data in addition to the most commonly used fundamental data and ratios.,fundamental,fundamental-fundamental-data,USA,1,TOP3000,0.8369,,1.0,334,103514,372,"[{'title': 'Research Paper 06: The Unintended Impact of Academic Research on Asset Returns:', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/13474939304087-Research-Paper-06-The-Unintended-Impact-of-Academic-Research-on-Asset-Returns'}, {'title': 'Research Paper 41: Duration-Driven Returns', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15769990223127-Research-Paper-41-Duration-Driven-Returns'}, {'title': 'Research Paper 48: The Best of Strategies for the Worst of Times: Can Portfolios be Crisis Proofed?', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15770130597015-Research-Paper-48-The-Best-of-Strategies-for-the-Worst-of-Times-Can-Portfolios-be-Crisis-Proofed'}, {'title': 'Research Paper 49: Decomposing Momentum', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15770148515479-Research-Paper-49-Decomposing-Momentum'}, {'title': 'Research Paper 61: Anomalies in the China A-share Market', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/17611091334295-Research-Paper-61-Anomalies-in-the-China-A-share-Market'}]"
33,fundamental2,Report Footnotes,This dataset holds fundamental items included in the supplements of any related financial statements.,fundamental,fundamental-footnotes,USA,1,TOP3000,0.4089,,1.0,2061,71267,318,[]
34,fundamental21,ESG Scores Data,"This dataset has ESG scores for different ESG factors for companies. There are 5 kind of files for each factor for each stock:

â€¢ Pulse files: The files provide scores that measures short-term, real-time performance and focus on events of the day
â€¢ Insight files:  The files provide scores that are derived from pulse score using an exponentially weighted moving average (WMA) and focuses on measuring long-term performance
â€¢ Momentum files: Focus on measuring the trend of a company. These scores are derived from Insight Scores by measuring the slope of insight scores.
â€¢ Volume files: Measures by company the number of unique articles, as well as the number of categories scored daily
â€¢ Volume ttm  files: Measures by company the number of unique articles, as well as the number of categories scored over last 12 months",fundamental,fundamental-fundamental-models,USA,1,TOP3000,0.4294,,5.0,15,66,142,[]
35,fundamental22,Environmental and Social Governance Data,"This dataset provides objective, relevant and systematic environmental, social and governance (ESG) information based on key performance indicators (KPIs) and individual data points along with their original data sources.",fundamental,fundamental-fundamental-models,USA,1,TOP3000,0.2611,,5.0,5,10,14,[]
36,fundamental23,Fundamental Point in Time Data,This dataset gives point in time access to fundamental data for a company. It provides accurate information that is free of bias & survivorship bias. It also does not overwrite any original value so that you have an accurate idea of the history of the company value. Coverage is global.,fundamental,fundamental-fundamental-data,USA,1,TOP3000,0.6996,,1.0,353,95340,904,"[{'title': 'Research Paper 01: Textual Sentiment, Option Characteristics, and Stock Return Predictability', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/13038131115415-Research-Paper-01-Textual-Sentiment-Option-Characteristics-and-Stock-Return-Predictability'}, {'title': 'Research Paper 10: Investor Learning, Earnings Signals, and Stock Returns', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/13801504994455-Research-Paper-10-Investor-Learning-Earnings-Signals-and-Stock-Returns'}, {'title': 'Research Paper 23: Overvalued Equity and Financing Decisions', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/14983690885911-Research-Paper-23-Overvalued-Equity-and-Financing-Decisions'}, {'title': 'Research Paper 48: The Best of Strategies for the Worst of Times: Can Portfolios be Crisis Proofed?', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15770130597015-Research-Paper-48-The-Best-of-Strategies-for-the-Worst-of-Times-Can-Portfolios-be-Crisis-Proofed'}]"
37,fundamental25,Company Operating Metrics,"This dataset contains key performance metrics disclosed within press release and company regulatory filings. Operating Metrics are industry-specific measures, ratios or statistics illustrating a company's performance within certain areas of its business. Metrics are grouped by industry, for example retail, airline, oil and gas, and provide deep insight on a company's performance by capturing comparative data for companies operating within the same line of business. ",fundamental,fundamental-fundamental-data,USA,1,TOP3000,0.3586,,4.0,5,18,7,[]
38,fundamental28,Global Fundamental Data,"This is a global fundamental dataset providing detailed annual and quarterly values for various items from financial statements. It has good content quality, extensive coverage & includes more than 1500+ data fields. Apart from financial statement content, it also provides per share data, calculated ratios, pricing & other textual information.",fundamental,fundamental-fundamental-data,USA,1,TOP3000,0.776,,1.0,428,192634,2209,"[{'title': 'Research Paper 10: Investor Learning, Earnings Signals, and Stock Returns', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/13801504994455-Research-Paper-10-Investor-Learning-Earnings-Signals-and-Stock-Returns'}, {'title': 'Research Paper 18: Earnings Volatility, Ambiguity, and Crisis-Period Stock Returns', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/14527092583319-Research-Paper-18-Earnings-Volatility-Ambiguity-and-Crisis-Period-Stock-Returns'}]"
39,fundamental3,Fundamentals Data for US Equities,This dataset holds fundamental items of quarterly and annual financial income statements.,fundamental,fundamental-fundamental-data,USA,1,TOP3000,0.5119,,1.0,283,40818,273,[]
40,fundamental31,Additional Factor Model,"Market factors made by systematic evaluation process to a variety of fundamental, technical, high-frequency and sector-specific signals.",fundamental,fundamental-fundamental-models,USA,1,TOP3000,0.6561,,3.0,120,1792,114,[]
41,fundamental35,US Financial Institutions Data,"The dataset includes detailed profiles on more than 20,000 U.S. financial institutions, including all publicly traded banks and thrifts, privately held institutions and credit unions. The vendor is the trusted information partner.",fundamental,fundamental-fundamental-models,USA,1,TOP3000,1.0,,4.0,8,46,1,[]
42,fundamental38,Energy Fundamental Data,Fundamental Model Data for Energy Industry,fundamental,fundamental-fundamental-models,USA,1,TOP3000,1.0,,4.0,13,126,3,[]
43,fundamental44,Accounting Quality Models,"Machine learning based scores which contains information about accounting quality. This is done via models for fraud detection, accounting ratios, etc. The machine learning models are refitted monthly. ",fundamental,fundamental-fundamental-models,USA,1,TOP3000,0.8471,,2.0,79,944,11,[]
44,fundamental45,Systematic mining of earnings calls data,Systematic text mining of earnings calls,fundamental,fundamental-fundamental-data,USA,1,TOP3000,0.6969,,2.0,70,744,12,[]
45,fundamental6,Company Fundamental Data for Equity,Fundamental database covers most of the world's big companies. The database also includes industry specific data and updates on quarterly basis. The data is summarized for quarterly/semiannual/yearly periods.,fundamental,fundamental-fundamental-data,USA,1,TOP3000,0.7357,,1.0,20624,9480428,914,"[{'title': 'Research Raper 03: Cross-Firm Information Flows and the Predictability of Stock Returns', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/14626658089495-Research-Raper-03-Cross-Firm-Information-Flows-and-the-Predictability-of-Stock-Returns'}, {'title': 'Research Paper 35: Profitability, R&D Investments and the Cross-Section of Stock Returns', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15238244743447-Research-Paper-35-Profitability-R-D-Investments-and-the-Cross-Section-of-Stock-Returns'}, {'title': 'Research Paper 48: The Best of Strategies for the Worst of Times: Can Portfolios be Crisis Proofed?', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15770130597015-Research-Paper-48-The-Best-of-Strategies-for-the-Worst-of-Times-Can-Portfolios-be-Crisis-Proofed'}, {'title': 'Research Paper 56: Intangible Value', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/17610791209495-Research-Paper-56-Intangible-Value'}, {'title': 'Research Paper 59: Market Fragmentation and Contagion', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/17611043059607-Research-Paper-59-Market-Fragmentation-and-Contagion'}, {'title': 'Research Paper 67: Understanding the Performance of the Equity Value Facto', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/17611163496343-Research-Paper-67-Understanding-the-Performance-of-the-Equity-Value-Facto'}, {'title': 'Research Paper 72: Testing for Asset Price Bubbles using Options Data', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/16412791948695-Research-Paper-72-Testing-for-Asset-Price-Bubbles-using-Options-Data'}, {'title': 'Research Paper 73: Uncertainty Resolution Before Earnings Announcements', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/16412807448599-Research-Paper-73-Uncertainty-Resolution-Before-Earnings-Announcements'}]"
46,fundamental65,Factor Ratios and its Rank Model,"Raw Fundamental Ratios and Rank Data. A global time series of the raw data that is used to compute stock factors and the ranks of the factors. Raw ratios are the underlying factor ratios that are calculated using specific methodologies. To compute ranks, we sort the raw ratios in ascending/descending order based on the factor and then rank them from 1 â€“ 100. 1 being the best and 100 the least preferable. The start date for US and US5000 files is 01/01/2009, the start date for non-US files is 01/01/2013.",fundamental,fundamental-fundamental-models,USA,1,TOP3000,0.8094,,3.0,176,13688,1155,"[{'title': 'Research paper 71: The Information Content of Option Demand', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/17611254171031-Research-paper-71-The-Information-Content-of-Option-Demand'}]"
47,fundamental7,Comprehensive Fundamentals Data,"The dataset holds fundamental items included in a company's balance sheet, income statement and cash flow statements. Even footnote items are included for enhancements and complete coverage for some companies. ",fundamental,fundamental-fundamental-data,USA,1,TOP3000,0.6875,,1.0,284,92868,140,[]
48,fundamental72,Comprehensive Fundamental Data,"This dataset contains comprehensive fundamental data as reported for balance sheet, income statement and statement of cash flows.",fundamental,fundamental-fundamental-data,USA,1,TOP3000,0.7489,,3.0,72,1350,1727,[]
49,fundamental76,Fundamental76,The dataset provides information on broad level fundamental items standardized from raw XBRL tags parsed from filings.,fundamental,fundamental-fundamental-data,USA,1,TOP3000,0.6379,,4.0,4,18,35,[]
50,fundamental77,Filing Fundamental Data,"This dataset is extracted from SEC filings such as the 10-Q, 10-K, etc, and the data can be divided into monetary/financial information, company related metadata, and text information from specific sections in filings. It contains fundamental data at a more granular level and thus can be a source of alpha ideas. Data fields with ""dei"" refer to company related metadata, those with ""monetary"" refer to numerical financial information, and those with ""non-monetary"" refer to non-numerical financial information. Data fields with ""afinn"" refer to the sentiment score of the textblock, data fields with ""lm"" refer to the line value of the textblock, data fields with ""word_cnt"" refer to word count of the text block.",fundamental,fundamental-fundamental-data,USA,1,TOP3000,0.4859,,4.0,10,74,53,[]
51,insiders1,Global Insider Trading Data,"The dataset covers insider trading information for global countries. The entries of the dataset contains details of each transaction including traded amount, price, currency, transaction type, and so on. The dataset also provides importance of trades and levels of insiders estimated by vendor model. The dataset has relatively short history, backfill is required, and it requires some insights to select speculative trades from those that are not. However, the information in this dataset is unique and one of the most comprehensive in insider category.",insiders,insiders-insider-data,USA,1,TOP3000,0.7487,,4.0,35,260,7,[]
52,insiders4,Edgar forms data,"Accruals-based method is widely used to analyze earnings quality, detect earnings management, and predict equity return. Accruals are revenues earned or expenses incurred which impact a company's net income on the income statement, although cash related to the transaction has not yet changed hands. For example, if a company overstates its earnings without receiving sufficient cash accordingly for a long time, accruals are consecutively positive, which is a bad sign of earnings quality. Companies with good current earnings quality are more likely to have higher future earnings and stock returns.",insiders,insiders-insider-data,USA,1,TOP3000,0.4084,,5.0,10,60,14,[]
53,institutions13,Institutions13,"The dataset provides data that promote better understanding of our equity markets and equity market structure. Data include metrics by exchange, metrics by decile and quartile, metrics by individual security, conditional cancels and trade distributions, spreads and depths of securities.",institutions,institutions-ownership-models,USA,1,TOP3000,0.7624,,5.0,8,46,32,[]
54,institutions4,Institutional Ownership Data,"This dataset holds equity ownership data for institutions, mutual fund portfolios, and insiders/stakeholders.",institutions,institutions-ownership-models,USA,1,TOP3000,0.7909,,2.0,287,74060,29,"[{'title': 'Research Paper 43: Decision-based Trades: An Analysis of Institutional Investors Information Advantages', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15770014352791-Research-Paper-43-Decision-based-Trades-An-Analysis-of-Institutional-Investors-Information-Advantages'}]"
55,institutions5,Insiders Model,"This dataset provides institutional insider information that can be used in placing early bets and event triggers. It looks into relationship between insider trading and subsequent stock returns & derives company scoring ranging from strong sell to strong buy. In addition to this, it also outputs the indicator factors which were considered while computing the score. A larger factor indicates stronger contribution to overall score. Changes to score from previous values is also recorded.",institutions,institutions-ownership-models,USA,1,TOP3000,0.8298,,2.0,254,8398,12,"[{'title': 'Research Paper 14: Insider Trading and Networked Directors', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/14162314149527-Research-Paper-14-Insider-Trading-and-Networked-Directors'}]"
56,institutions6,Institutions and Beneficial Stake Ownership,"A consolidated feed of global equity ownership information covering institutions, mutual funds and beneficial stakeholders. Data includes shares held, percent of shares outstanding, report date for each owner/security, aggregated owner and security statistics, and investor profiles.",institutions,institutions-ownership-models,USA,1,TOP3000,1.0,,2.0,109,1928,11,"[{'title': 'Research Paper 31: Corporate ESG Profiles and Investor Horizons', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15238206484631-Research-Paper-31-Corporate-ESG-Profiles-and-Investor-Horizons'}, {'title': 'Research Paper 34: Filing Speed, Information Leakage, and Price Formation', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15238206593687-Research-Paper-34-Filing-Speed-Information-Leakage-and-Price-Formation'}, {'title': 'Research Paper 40: Institutional Ownership and Insider-Trading Behavior: Evidence From Index Rebalance', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15770004514583-Research-Paper-40-Institutional-Ownership-and-Insider-Trading-Behavior-Evidence-From-Index-Rebalance'}]"
57,institutions7,Ownership Model,This dataset is a crowding indicator dataset. It provides a number of scores that indicate crowding based on the ownership of stocks derived from funds holding data. These factors can be used to identify beta or alpha of the stock depending on the level of overcrowding.,institutions,institutions-ownership-models,USA,1,TOP3000,0.7956,,2.0,206,9626,13,[]
